Time,RO유입압력_PT008,RO처리압력_PT009,RO농축압력_PT010,RO유입압력_PT011,RO압력_RO-TMP,RO유입전도도_EC002,RO처리전도도_EC003,RO유입유량_FT001,RO처리유량_FT002,RO유입적산유량_FI001,RO처리적산유량_FI002,RO유입온도_TT004,ROpH_pH002,ROpH_pH003,RO산화환원전위_ORP001,RO펌프_P001,RO펌프_P002,XV013
10/22/2025 11:04,21.0625,0.55,20.1375,0.47,9.87375,32025,6655,5.4562,2.7225,125.323,2393.28,24.5813,2.7225,7.0225,24.5813,1.15,27.3038,1
10/22/2025 11:09,21.05,0.55,20.1375,0.47,9.87375,32050,6660,5.4413,2.7225,125.323,2393.507,24.7,2.7225,7.0225,24.7,1.15,27.4225,0
10/22/2025 11:14,21.0625,0.5375,20.1375,0.4575,9.88,31950,6625,5.4525,2.7337,125.323,2393.734,24.8125,2.7337,7.0337,24.8125,1.15,27.5462,1
10/22/2025 11:19,21.0625,0.5375,20.1375,0.4575,9.88,31950,6600,5.4487,2.7225,125.323,2393.962,24.85,2.7225,7.0225,24.85,1.15,27.5725,1
10/22/2025 11:24,21.0375,0.55,20.1375,0.47,9.87375,32075,6580,5.4413,2.73,125.323,2394.19,24.9313,2.73,7.03,24.9313,1.15,27.6613,1
10/22/2025 11:29,21.05,0.5375,20.1625,0.4575,9.8925,32000,6585,5.4337,2.73,125.323,2394.417,24.9563,2.73,7.03,24.9563,1.15,27.6863,1
10/22/2025 11:34,21.0125,0.55,20.125,0.47,9.8675,32000,6555,5.43,2.7188,125.323,2394.644,25.0125,2.7188,7.0188,25.0125,1.15,27.7313,1
10/22/2025 11:39,21.0125,0.5625,20.1125,0.4825,9.855,31950,6565,5.43,2.7188,125.323,2394.871,25.0188,2.7188,7.0188,25.0188,1.15,27.7376,1
10/22/2025 11:44,21.0375,0.5625,20.125,0.4825,9.86125,32025,6535,5.4188,2.7188,125.323,2395.097,25.0313,2.7188,7.0188,25.0313,1.15,27.7501,1
10/22/2025 11:49,21.05,0.5625,20.1625,0.4825,9.88,32150,6525,5.4188,2.7188,125.323,2395.325,25.05,2.7188,7.0188,25.05,1.15,27.7688,1
10/22/2025 11:54,21.05,0.5625,20.1375,0.4825,9.8675,32025,6500,5.4225,2.715,125.323,2395.551,25.05,2.715,7.015,25.05,1.15,27.765,1
10/22/2025 11:59,21.05,0.6,20.1625,0.52,9.86125,32125,6520,5.4188,2.715,125.323,2395.778,25.0563,2.715,7.015,25.0563,1.15,27.7713,1
10/22/2025 12:04,21.0375,0.5625,20.125,0.4825,9.86125,32025,6520,5.415,2.7112,125.323,2396.004,25.0813,2.7112,7.0112,25.0813,1.15,27.7925,1
10/22/2025 12:09,21.0375,0.575,20.1375,0.495,9.86125,32175,6500,5.4112,2.7112,125.323,2396.229,25.0813,2.7112,7.0112,25.0813,1.15,27.7925,1
10/22/2025 12:14,21.0375,0.575,20.1375,0.495,9.86125,32125,6480,5.4112,2.7112,125.323,2396.455,25.075,2.7112,7.0112,25.075,1.15,27.7862,1
10/22/2025 12:19,21.0375,0.6,20.125,0.52,9.8425,32150,6480,5.4112,2.7112,125.323,2396.682,25.1063,2.7112,7.0112,25.1063,1.15,27.8175,1
10/22/2025 12:24,21.0125,0.5625,20.125,0.4825,9.86125,32150,6470,5.4188,2.7112,125.323,2396.907,25.1313,2.7112,7.0112,25.1313,1.15,27.8425,1
10/22/2025 12:29,21.0375,0.575,20.125,0.495,9.855,32000,6470,5.4112,2.7,125.323,2397.133,25.1313,2.7,7,25.1313,1.15,27.8313,1
10/22/2025 12:34,21.0375,0.6,20.125,0.52,9.8425,32025,6485,5.4,2.7,125.323,2397.358,25.1375,2.7,7,25.1375,1.15,27.8375,1
10/22/2025 12:39,21.0125,0.5625,20.1125,0.4825,9.855,32150,6470,5.3963,2.6963,125.323,2397.582,25.1313,2.6963,6.9963,25.1313,1.15,27.8276,1
10/22/2025 12:44,21,0.6,20.125,0.52,9.8425,32175,6450,5.3963,2.6963,125.323,2397.806,25.1625,2.6963,6.9963,25.1625,1.15,27.8588,1
10/22/2025 12:49,21,0.575,20.1125,0.495,9.84875,32150,6495,5.4,2.6963,125.323,2398.031,25.2,2.6963,6.9963,25.2,1.15,27.8963,1
10/22/2025 12:54,21,0.5625,20.1,0.4825,9.84875,32125,6485,5.3963,2.6887,125.323,2398.256,25.2,2.6887,6.9887,25.2,1.15,27.8887,1
10/22/2025 12:59,21,0.575,20.1,0.495,9.8425,32025,6485,5.3812,2.6887,125.323,2398.48,25.2188,2.6887,6.9887,25.2188,1.15,27.9075,1
10/22/2025 13:04,21,0.575,20.1,0.495,9.8425,32050,6460,5.385,2.6775,125.323,2398.704,25.2375,2.6775,6.9775,25.2375,1.15,27.915,1
10/22/2025 13:09,20.9875,0.5625,20.1,0.4825,9.84875,32050,6480,5.3775,2.6775,125.323,2398.927,25.2625,2.6775,6.9775,25.2625,1.15,27.94,1
10/22/2025 13:14,20.9875,0.5625,20.1125,0.4825,9.855,32075,6475,5.385,2.6775,125.323,2399.151,25.2875,2.6775,6.9775,25.2875,1.15,27.965,1
10/22/2025 13:19,21,0.55,20.125,0.47,9.8675,32200,6470,5.3775,2.6812,125.323,2399.374,25.2875,2.6812,6.9812,25.2875,1.15,27.9687,1
10/22/2025 13:24,20.975,0.6,20.1125,0.52,9.83625,32200,6485,5.3737,2.6738,125.323,2399.598,25.3313,2.6738,6.9738,25.3313,1.15,28.0051,1
10/22/2025 13:29,20.95,0.6,20.075,0.52,9.8175,32250,6480,5.3737,2.6738,125.323,2399.821,25.3313,2.6738,6.9738,25.3313,1.15,28.0051,1
10/22/2025 13:34,20.95,0.575,20.1,0.495,9.8425,32125,6460,5.3812,2.6738,125.323,2400.044,25.3375,2.6738,6.9738,25.3375,1.15,28.0113,1
10/22/2025 13:39,20.95,0.5375,20.1,0.4575,9.86125,32200,6495,5.37,2.6738,125.323,2400.267,25.3563,2.6738,6.9738,25.3563,1.15,28.0301,1
10/22/2025 13:44,20.975,0.5625,20.1,0.4825,9.84875,32200,6475,5.3737,2.67,125.323,2400.489,25.375,2.67,6.97,25.375,1.15,28.045,1
10/22/2025 13:49,20.975,0.5625,20.1125,0.4825,9.855,32200,6470,5.3737,2.6738,125.323,2400.712,25.3875,2.6738,6.9738,25.3875,1.15,28.0613,1
10/22/2025 13:54,20.95,0.575,20.1,0.495,9.8425,32175,6470,5.3737,2.67,125.323,2400.934,25.4063,2.67,6.97,25.4063,1.15,28.0763,1
10/22/2025 13:59,20.95,0.575,20.075,0.495,9.83,32150,6460,5.3587,2.67,125.323,2401.157,25.4188,2.67,6.97,25.4188,1.15,28.0888,1
10/22/2025 14:04,20.9375,0.55,20.1,0.47,9.855,32075,6475,5.3737,2.6625,125.323,2401.379,25.4375,2.6625,6.9625,25.4375,1.15,28.1,1
10/22/2025 14:09,20.95,0.575,20.075,0.495,9.83,32075,6505,5.3625,2.6587,125.323,2401.601,25.4375,2.6587,6.9587,25.4375,1.15,28.0962,1
10/22/2025 14:14,2.2,0.5,2.05,0.42,0.855,32050,595,0,0,125.323,2401.79,25.4375,0,4.3,25.4375,1.15,25.4375,1
10/23/2025 8:05,21.1125,0.5625,20.1875,0.4825,9.8925,32300,6875,5.5687,2.8575,125.323,2403.488,23.7063,2.8575,7.1575,23.7063,1.15,26.5638,1
10/23/2025 8:10,21.125,0.5625,20.2,0.4825,9.89875,32425,6900,5.52,2.8013,125.323,2403.724,23.7313,2.8013,7.1013,23.7313,1.15,26.5326,1
10/23/2025 8:15,21.1375,0.6,20.225,0.52,9.8925,32300,6845,5.4975,2.775,125.323,2403.957,23.6813,2.775,7.075,23.6813,1.15,26.4563,1
10/23/2025 8:20,21.15,0.575,20.225,0.495,9.905,32300,6785,5.4787,2.76,125.323,2404.187,23.6813,2.76,7.06,23.6813,1.15,26.4413,1
10/23/2025 8:25,21.1375,0.6,20.2,0.52,9.88,32275,6740,5.46,2.7413,125.323,2404.417,23.7375,2.7413,7.0413,23.7375,1.15,26.4788,1
10/23/2025 8:30,21.1375,0.5625,20.2,0.4825,9.89875,32400,6720,5.46,2.7337,125.323,2404.645,23.775,2.7337,7.0337,23.775,1.15,26.5087,1
10/23/2025 8:35,21.125,0.575,20.2,0.495,9.8925,32425,6680,5.4487,2.7225,125.323,2404.872,23.8188,2.7225,7.0225,23.8188,1.15,26.5413,1
10/23/2025 8:40,21.1125,0.6,20.225,0.52,9.8925,32275,6640,5.4375,2.7188,125.323,2405.099,23.8563,2.7188,7.0188,23.8563,1.15,26.5751,1
10/23/2025 8:45,21.1375,0.575,20.225,0.495,9.905,32300,6650,5.4413,2.715,125.323,2405.326,23.8688,2.715,7.015,23.8688,1.15,26.5838,1
10/23/2025 8:50,21.1375,0.6,20.25,0.52,9.905,32325,6630,5.4112,2.7037,125.323,2405.552,23.8938,2.7037,7.0037,23.8938,1.15,26.5975,1
10/23/2025 8:55,21.1375,0.575,20.2,0.495,9.8925,32300,6600,5.415,2.7,125.323,2405.778,23.9063,2.7,7,23.9063,1.15,26.6063,1
10/23/2025 9:00,21.125,0.575,20.2,0.495,9.8925,32300,6585,5.415,2.7,125.323,2406.003,23.9375,2.7,7,23.9375,1.15,26.6375,1
10/23/2025 9:05,21.125,0.5625,20.2,0.4825,9.89875,32275,6565,5.415,2.6963,125.323,2406.228,23.9625,2.6963,6.9963,23.9625,1.15,26.6588,1
10/23/2025 9:10,21.1375,0.575,20.2,0.495,9.8925,32275,6600,5.4037,2.6925,125.323,2406.453,23.9938,2.6925,6.9925,23.9938,1.15,26.6863,1
10/23/2025 9:15,21.125,0.575,20.225,0.495,9.905,32375,6580,5.4037,2.6925,125.323,2406.677,24.0063,2.6925,6.9925,24.0063,1.15,26.6988,1
10/23/2025 9:20,21.1125,0.5625,20.225,0.4825,9.91125,32275,6545,5.415,2.6887,125.323,2406.901,24.0375,2.6887,6.9887,24.0375,1.15,26.7262,1
10/23/2025 9:25,21.1375,0.575,20.225,0.495,9.905,32300,6530,5.4112,2.6925,125.323,2407.126,24.0313,2.6925,6.9925,24.0313,1.15,26.7238,1
10/23/2025 9:30,21.125,0.575,20.225,0.495,9.905,32375,6530,5.415,2.6812,125.323,2407.349,24.075,2.6812,6.9812,24.075,1.15,26.7562,1
10/23/2025 9:35,21.1125,0.6125,20.2,0.5325,9.87375,32375,6535,5.4,2.6887,125.323,2407.574,24.2375,2.6887,6.9887,24.2375,1.15,26.9262,1
10/23/2025 9:40,21.1125,0.5625,20.225,0.4825,9.91125,32275,6530,5.4112,2.6925,125.323,2407.797,24.3625,2.6925,6.9925,24.3625,1.15,27.055,1
10/23/2025 9:45,21.0875,0.575,20.175,0.495,9.88,32275,6545,5.3963,2.6812,125.323,2408.021,24.3938,2.6812,6.9812,24.3938,1.15,27.075,1
10/23/2025 9:50,21.0625,0.575,20.175,0.495,9.88,32200,6545,5.3925,2.6775,125.323,2408.244,24.4563,2.6775,6.9775,24.4563,1.15,27.1338,1
10/23/2025 9:55,21.05,0.575,20.175,0.495,9.88,31925,6460,5.46,2.7375,125.323,2408.471,24.7375,2.7375,7.0375,24.7375,1.15,27.475,1
10/23/2025 10:00,21.0625,0.5625,20.1875,0.4825,9.8925,31925,6470,5.4413,2.7337,125.323,2408.699,24.7375,2.7337,7.0337,24.7375,1.15,27.4712,1
10/23/2025 10:05,21.0625,0.575,20.175,0.495,9.88,32000,6485,5.4413,2.715,125.323,2408.927,24.7438,2.715,7.015,24.7438,1.15,27.4588,1
10/23/2025 10:10,21.05,0.575,20.1625,0.495,9.87375,32075,6495,5.4375,2.715,125.323,2409.154,24.7688,2.715,7.015,24.7688,1.15,27.4838,1
10/23/2025 10:15,21.0375,0.5625,20.1375,0.4825,9.8675,32025,6505,5.43,2.715,125.323,2409.379,24.7563,2.715,7.015,24.7563,1.15,27.4713,1
10/23/2025 10:20,21.0375,0.575,20.1625,0.495,9.87375,32025,6450,5.43,2.7112,125.323,2409.605,24.7938,2.7112,7.0112,24.7938,1.15,27.505,1
10/23/2025 10:25,21.05,0.55,20.1625,0.47,9.88625,32175,6470,5.4225,2.7037,125.323,2409.831,24.8313,2.7037,7.0037,24.8313,1.15,27.535,1
10/23/2025 10:30,21.0375,0.55,20.175,0.47,9.8925,32050,6460,5.415,2.7,125.323,2410.057,24.85,2.7,7,24.85,1.15,27.55,1
10/23/2025 10:35,21.0125,0.55,20.1625,0.47,9.88625,32150,6485,5.415,2.7,125.323,2410.282,24.8625,2.7,7,24.8625,1.15,27.5625,1
10/23/2025 10:40,21.0375,0.575,20.1625,0.495,9.87375,32150,6475,5.4112,2.7,125.323,2410.508,24.8688,2.7,7,24.8688,1.15,27.5688,1
10/23/2025 10:45,21.0125,0.6,20.1625,0.52,9.86125,32125,6455,5.4112,2.7,125.323,2410.732,24.875,2.7,7,24.875,1.15,27.575,1
10/23/2025 10:50,21.0125,0.6,20.125,0.52,9.8425,32200,6470,5.3963,2.6963,125.323,2410.957,24.9063,2.6963,6.9963,24.9063,1.15,27.6026,1
10/23/2025 10:55,21.0125,0.575,20.1625,0.495,9.87375,32150,6450,5.4112,2.6963,125.323,2411.182,24.9438,2.6963,6.9963,24.9438,1.15,27.6401,1
10/23/2025 11:00,21.0125,0.575,20.175,0.495,9.88,32175,6460,5.4037,2.6925,125.323,2411.406,24.9688,2.6925,6.9925,24.9688,1.15,27.6613,1
10/23/2025 11:05,21.0125,0.6,20.1625,0.52,9.86125,32175,6470,5.3925,2.6887,125.323,2411.631,24.9813,2.6887,6.9887,24.9813,1.15,27.67,1
10/23/2025 11:10,21.0125,0.6,20.1625,0.52,9.86125,32150,6450,5.3925,2.6925,125.323,2411.856,25.025,2.6925,6.9925,25.025,1.15,27.7175,1
10/23/2025 11:15,21.0375,0.575,20.1625,0.495,9.87375,32175,6475,5.3963,2.6887,125.323,2412.08,25.0313,2.6887,6.9887,25.0313,1.15,27.72,1
10/23/2025 11:20,21.0125,0.6125,20.1375,0.5325,9.8425,32200,6455,5.3925,2.6887,125.323,2412.304,25.05,2.6887,6.9887,25.05,1.15,27.7387,1
