Time,UF유입압력_PT001,UF유입압력_PT007,UF유입압력_PT002,UF유입압력_PT005,UF압력_UF-TMP,UF유입압력_PT003,UF유입압력_PT004,UF유입압력_PT006,UF처리탁도_TUB001,UF농축유량_FIT001,UF처리유량_FIT002,UF유입온도_TIT001,UF유입온도_TIT002,UF유입온도_TIT003,전기전도도_EC001,UFpH_pH001,UF히터_EH001,UF레귤레이터_REG001,UF레귤레이터_REG002,UF펌프_P001,UF펌프_P002,UF펌프_P003,UF펌프_P004,UF펌프_P005,XV001,XV002,XV003,XV004,XV005,XV006,XV007,XV008,XV009,XV010,XV011,XV012
10/22/2025 11:04,1.4394,1.3281,0.0362,1.155,1.261,1.4394,1.3281,1.155,1.725,23.938,2.1874,48.3188,48.3188,48.3188,23.938,2.1874,,,,46.1314,21.7506,22.213,22.6099,22.4986,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:09,1.43,1.3419,0.0338,1.1025,1.23245,1.43,1.3419,1.1025,1.75,23.9097,2.3445,48.0125,48.0125,48.0125,23.9097,2.3445,,,,45.668,21.5652,22.1597,22.5678,22.4797,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:14,1.4306,1.3444,0.0375,1.105,1.2303,1.4306,1.3444,1.105,1.75,23.9323,2.377,48.2125,48.2125,48.2125,23.9323,2.377,,,,45.8355,21.5553,22.1823,22.5879,22.5017,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:19,1.4266,1.3466,0,1.1325,1.27955,1.4266,1.3466,1.1325,1.8,23.8701,2.4204,48.1,48.1,48.1,23.8701,2.4204,,,,45.6796,21.4497,22.0701,22.5235,22.4435,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:24,1.4284,1.3497,0,1.14,1.2842,1.4284,1.3497,1.14,1.8,23.8701,2.4005,48.275,48.275,48.275,23.8701,2.4005,,,,45.8745,21.4696,22.0701,22.5204,22.4417,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:29,1.4353,1.3509,0,1.1538,1.29455,1.4353,1.3509,1.1538,1.75,23.8927,2.3897,48.4125,48.4125,48.4125,23.8927,2.3897,,,,46.0228,21.503,22.1427,22.5418,22.4574,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:34,1.4284,1.3506,0,1.115,1.2717,1.4284,1.3506,1.115,1.75,23.9097,2.3861,48.2438,48.2438,48.2438,23.9097,2.3861,,,,45.8577,21.5236,22.1597,22.5591,22.4813,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:39,1.4275,1.35,0,1.1225,1.275,1.4275,1.35,1.1225,1.775,23.873,2.377,48.3063,48.3063,48.3063,23.873,2.377,,,,45.9293,21.496,22.098,22.523,22.4455,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:44,1.4288,1.3494,0,1.1213,1.27505,1.4288,1.3494,1.1213,1.775,23.873,2.3698,48.6188,48.6188,48.6188,23.873,2.3698,,,,46.249,21.5032,22.098,22.5236,22.4442,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:49,1.4275,1.3503,0,1.105,1.26625,1.4275,1.3503,1.105,1.75,23.873,2.368,48.1688,48.1688,48.1688,23.873,2.368,,,,45.8008,21.505,22.123,22.5227,22.4455,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:54,1.4328,1.35,0,1.1387,1.28575,1.4328,1.35,1.1387,1.75,23.8645,2.3734,48.3188,48.3188,48.3188,23.8645,2.3734,,,,45.9454,21.4911,22.1145,22.5145,22.4317,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 11:59,1.4391,1.3491,0,1.1425,1.2908,1.4391,1.3491,1.1425,1.75,23.8673,2.368,48.45,48.45,48.45,23.8673,2.368,,,,46.082,21.4993,22.1173,22.5182,22.4282,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:04,1.4338,1.35,0,1.1113,1.27255,1.4338,1.35,1.1113,1.775,23.8899,2.3626,48.35,48.35,48.35,23.8899,2.3626,,,,45.9874,21.5273,22.1149,22.5399,22.4561,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:09,1.4359,1.3516,0,1.1213,1.2786,1.4359,1.3516,1.1213,1.775,23.8871,2.368,48.2438,48.3188,48.2438,23.8871,2.368,,,,45.9508,21.5191,22.1121,22.5355,22.4512,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:14,1.4275,1.3516,0,1.1113,1.2694,1.4275,1.3516,1.1113,1.775,23.8843,2.3608,48.2563,48.0125,48.2563,23.8843,2.3608,,,,45.6517,21.5235,22.1093,22.5327,22.4568,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:19,1.4291,1.3509,0,1.1425,1.2858,1.4291,1.3509,1.1425,1.775,23.8871,2.3644,47.8875,48.2125,47.8875,23.8871,2.3644,,,,45.8481,21.5227,22.1121,22.5362,22.458,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:24,1.435,1.3509,0,1.1338,1.2844,1.435,1.3509,1.1338,1.75,23.8786,2.3572,48.2563,48.1,48.2563,23.8786,2.3572,,,,45.7428,21.5214,22.1286,22.5277,22.4436,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:29,1.4334,1.3516,0,1.1,1.2667,1.4334,1.3516,1.1,1.775,23.8984,2.359,48.4125,48.4125,48.4125,23.8984,2.359,,,,46.0535,21.5394,22.1234,22.5468,22.465,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:34,1.4319,1.3513,0,1.0725,1.2522,1.4319,1.3513,1.0725,1.75,23.8758,2.3572,48.2563,48.2563,48.2563,23.8758,2.3572,,,,45.8991,21.5186,22.1258,22.5245,22.4439,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:39,1.4294,1.3497,0,1.1487,1.28905,1.4294,1.3497,1.1487,1.775,23.8871,2.3554,48.1813,48.1813,48.1813,23.8871,2.3554,,,,45.8259,21.5317,22.1121,22.5374,22.4577,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:44,1.43,1.3513,0,1.1138,1.2719,1.43,1.3513,1.1138,1.775,23.8758,2.3626,48.2688,48.2688,48.2688,23.8758,2.3626,,,,45.9062,21.5132,22.1008,22.5245,22.4458,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:49,1.4272,1.3488,0,1.125,1.2761,1.4272,1.3488,1.125,1.75,23.8984,2.3535,48.2688,48.3188,48.2688,23.8984,2.3535,,,,45.9653,21.5449,22.1484,22.5496,22.4712,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:54,1.4306,1.3494,0,1.1575,1.29405,1.4306,1.3494,1.1575,1.8,23.8814,2.359,48.2375,48.0125,48.2375,23.8814,2.359,,,,45.6535,21.5224,22.0814,22.532,22.4508,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 12:59,1.4222,1.3525,0,1.1338,1.278,1.4222,1.3525,1.1338,1.775,23.8899,2.3572,48.2125,48.2125,48.2125,23.8899,2.3572,,,,45.8553,21.5327,22.1149,22.5374,22.4677,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:04,1.4297,1.3503,0,1.1138,1.27175,1.4297,1.3503,1.1138,1.775,23.8814,2.3662,48.3688,48.1,48.3688,23.8814,2.3662,,,,45.7338,21.5152,22.1064,22.5311,22.4517,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:09,1.4303,1.3522,0,1.0962,1.26325,1.4303,1.3522,1.0962,1.75,23.8786,2.3608,48.2,48.2,48.2,23.8786,2.3608,,,,45.8392,21.5178,22.1286,22.5264,22.4483,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:14,1.4316,1.3497,0,1.0988,1.2652,1.4316,1.3497,1.0988,1.75,23.8447,2.3644,48.0063,48.0063,48.0063,23.8447,2.3644,,,,45.6419,21.4803,22.0947,22.495,22.4131,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 13:19,1.4375,1.3506,0,1.145,1.29125,1.4375,1.3506,1.145,1.775,23.8673,2.359,48.1438,48.1438,48.1438,23.8673,2.359,,,,45.7848,21.5083,22.0923,22.5167,22.4298,1,1,1,0,1,1,0,1,1,1,1,1
